speaker,label,type,utterance
223812561,ANSW,OP,@XboxSupport2 yes a 4004 error and the only option given is that the window closes and returns to xbox home
139242149,APOL,OP," @Mr_Hardstyle1 Alright, sorry about that."
139242149,ANSW,SV, There's currently issues with the app being investigated: http://t.co/201ushRn ^BB
223812561,THK,SV, @XboxSupport2 thanks!
223812561,ANNOU,SV, I will wait for it to be solved.
223812561,THK,SV, Thanks for the help
139242149,RESPOS,SV, @Mr_Hardstyle1 You're welcome!
139242149,THK,SV, Thank you for your patience.

139242149,ANSW,SV," @UKRebelxxx That issues is currently being looked into, keep an eye out on http://t.co/201ushRn for updates."
139242149,THK,SV, Thank you!
611107030,THK,SV,@XboxSupport2 Okay thanks
139242149,THK,SV, @UKRebelxxx Thanks for your patience!
611107030,REQ,OP,"@XboxSupport2 On the status page it says check back in 30, is that supposed to be 30 minutes?"
139242149,ANSW,SV, @UKRebelxxx I would assume 30 minutes.
139242149,ANSW,SV, I would just keep an eye there for the alert to be removed.
611107030,THK,SV,@XboxSupport2 Okay Thanks :)

139242149,REQ,OP, @ChrisPresslie What were you doing when you got this error?
15678151,REQ,OP, @XboxSupport2 s?
15678151,REQ,OP, gn?
15678151,REQ,OP, ng ?
15678151,REQ,OP, nto xbl aga?
15678151,ANNOU,OP, n
139242149,REQ,OP, @ChrisPresslie What have you tried so far?
15678151,REQ,OP, @XboxSupport2 ?
15678151,REQ,OP, ve redownloaded my prof?
15678151,REQ,OP, les that workedre but k?
15678151,REQ,OP, nda s?
15678151,REQ,OP, ck of hav?
15678151,REQ,OP, ng to keep redownload?
15678151,REQ,OP, ng 3 xbl prof?
15678151,ANNOU,OP, les
139242149,REQ,OP," @ChrisPresslie I hear ya, you have to do this often?"
15678151,REQ,OP, @XboxSupport2 yeah : ?
15678151,REQ,OP, ve looked for any corrupt f?
15678151,ANNOU,OP, les and cant see any
139242149,REQ,OP, @ChrisPresslie What about saving the profile to a USB device?

153914763,REQ,OP,@XboxSupport2 hi I've got one of the new xboxs (black one) and the fans stopped working at the middle of the console and keeps restarting !
139242149,ANSW,OP, @euanmcgraw I see.
139242149,REQ,OP, What does the light on the power brick do when this happens?
153914763,ANSW,OP,@XboxSupport2 when it turns off it has 4 light green lights around the power button
139242149,THK,OP," @euanmcgraw Okay, thanks."
139242149,REQ,OP, What about the light on the power supply?
153914763,ANSW,OP,@XboxSupport2 it just stays green!
139242149,ANSW,OP, @euanmcgraw Interesting.
139242149,REQ,OP, What kind of A/V connection are you using?
153914763,ANSW,OP,@XboxSupport2 normal hdmi cable
139242149,REQ,OP, @euanmcgraw Would you be able to try with a composite or component cable?
153914763,ANSW,OP,@XboxSupport2 still the same outcome :(
139242149,ANSW,OP, @euanmcgraw Darn.
139242149,REQ,OP," Okay, how about just plugging the console into a different outlet?"
153914763,ANSW,SV,@XboxSupport2 at the moment its working but if it re occurs later I shall tweet again thanks a lot for your help!

139242149,REQ,OP, @JKArcade Have you been able to try plugging it in a different USB port?
16549467,ANSW,OP,"@XboxSupport2 I have a free one on the front that I use for my Turtle Beach stuff, I will swap it out for the Kinect here in a moment."
139242149,REQ,OP," @JKArcade If you're using additional devices like Turtle Beach, we also would want to test with them disconnected to make sure."
16549467,ANSW,OP," @XboxSupport2 no prob, lemme disconnect the headset, everything else is unplugged as is."
16549467,ANSW,OP, Going to use the front USB port.
139242149,RCPT,OP," @JKArcade Sounds good, keep us updated."
16549467,ANSW,OP,"@XboxSupport2 the Kinect appears to be working now, however I'm not thrilled if the implication is my headset or USB port is responsible."
139242149,ANSW,OP," @JKArcade Totally understand, why don't we try one at a time to help determine it."
139242149,REQ,OP, Maybe try the back USB port now and see first.
16549467,REQ,OP,"@XboxSupport2 Sure thing, should I power off the console while I switch?"
139242149,ANSW,OP," @JKArcade Yeah, let's go ahead and try that."
16549467,ANSW,OP," @XboxSupport2 Rear port result: Before even being able to sign in, the Kinect started rebooting itself repeatedly."
16549467,ANSW,OP, It's looping reboots.
139242149,REQ,OP, @JKArcade Can you clarify whether you're a part of the dashboard preview program or not?
16549467,ANSW,OP,"@XboxSupport2 In addition, the Kinect has now started rebooting again using the rear port, interrupting Fruit Ninja."
139242149,RCPT,OP, @JKArcade So...
139242149,REQ,OP," to clarify, how long have you owned the sensor?"
16549467,ANSW,OP,@XboxSupport2 I purchased the sensor the week it launched.
139242149,REQ,OP, @JKArcade And it's worked fine until the last couple of days?
139242149,REQ,OP, Only very recent issues?
16549467,ANSW,OP,"@XboxSupport2 Literally up until the other night when I wrote in, it's been perfect."
139242149,RCPT,OP, @JKArcade Hrmm.
139242149,ANSW,OP," Okay, it's likely that the sensor may need to be repaired."
139242149,REQ,OP, Any possibility of testing it with a friend's console?
16549467,REQ,OP,"@XboxSupport2 Not really, could it be the USB cable rather than the sensor?"
139242149,ANSW,OP, @JKArcade That is certainly a possibility.
139242149,ANSW,OP," Comes down to an issue with the console, the Kinect sensor or the USB cable at this point."
16549467,REQ,OP,@XboxSupport2 Is it possible for me to replace the USB cable for the Kinect sensor?

525441739,REQ,OP, @XboxSupport2 should I stop being a cowboy fan cuz they are bad.
525441739,ANNOU,OP, I can be a ravens fan instead.
139242149,ANSW,SV, @TheDumpski Gotta stick with your team through good or bad!
139242149,COMPLIM,SV, :) ^BB

139242149,REQ,OP, @KidZombie209 It won't close?
139242149,REQ,OP, Nothing happens when you press the eject button?
128727325,ANSW,OP," @XboxSupport2 no when I press the button it closes, but not all the way."
128727325,ANSW,OP, It's like something is jamming it.
139242149,REQ,OP," @KidZombie209 Hmm, are you able to take the front cover off at all?"
139242149,ANNOU,OP, This guide will show how: http://t.co/ilzhbn63 ^BB
128727325,ANSW,OP,@XboxSupport2 yeah I just took cover right now.
139242149,REQ,OP, @KidZombie209 Did that help?
128727325,ANSW,OP," @XboxSupport2 no not really, here is the video of the problem I'm having."
128727325,ANSW,OP, http://t.co/HheUxPnf
139242149,REQ,OP," @KidZombie209 Ouch, how old is this console by the way?"
128727325,ANSW,OP, @XboxSupport2 it's not that old.
128727325,ANSW,OP, I got it like in 2009?
128727325,ANSW,OP, I don't think it being old has anything to with it though.
139242149,ANSW,OP," @KidZombie209 I know, was just curious."
139242149,ANSW,OP, You can always get a repair request done here if you need to: http://t.co/38GhGnYY ^BB
128727325,ANSW,OP,"@XboxSupport2 it's okay, I just disassembled it and it turns out, there was a Disc stuck in the try."
139242149,ANSW,OP, @KidZombie209 Oh wow.
139242149,REQ,OP, Did that fix the issue?

139242149,REQ,OP, @RobertYoung14 What happens when you reboot and try watching the movie again?
308450104,ANSW,OP, @XboxSupport2 just keep getting the same message every time.
308450104,ANSW,OP, I've tried over a dozen times now.

368685556,ANNOU,OP, @XboxSupport2 I downloaded a game that doesn't work on my USB and it still doesn't work.
368685556,ANNOU,OP, I've done all the clear system cache stuff
139242149,ANSW,OP, @Lukejohns12 That sounds a bit frustrating.
139242149,REQ,OP, And are you getting a particular error when you try to access the game?
368685556,ANSW,OP,@XboxSupport2 disk is unreadable
139242149,REQ,OP," @Lukejohns12 Okay, and you were able to download a similarly sized title from the marketplace as mentioned in the troubleshooting steps?"
368685556,ANSW,OP," @XboxSupport2 ok, but I downloaded this game last year and since then I have downloaded many demos."
368685556,ANSW,OP, But I will try again
139242149,ANSW,OP," @Lukejohns12 The idea is to try storing the game to a different part of the hard drive, so that may help resolve the issue."
368685556,COMPLAINT,CL,@XboxSupport2 downloaded another game and disk is unreadable I'm sick of xbox now just error after error I wanted to play this aswell thanks

139242149,REQ,OP, @GopalSingh2012 Are you still unable to download the profile?
139242149,REQ,OP, Give us a shout when you can try it again.
294088759,ANSW,OP,@XboxSupport2 Just tried &amp; it starts to download but then gives me the exact same error
139242149,THK,OP," @GopalSingh2012 Alright, thanks for letting us know."
139242149,ANSW,SV, There's an issue that's currently under investigation that has to do with this ^PC
294088759,THK,SV,@XboxSupport2 Ok thanks for letting me know.
139242149,RESPOS,SV,@GopalSingh2012 You're welcome ^PC

139242149,REQ,OP, @ReD__CloVeR Can you give it another shot and let us know how it goes?
51435176,COMPLIM,SV,@XboxSupport2 Yea its all good now thanks!!

139242149,REQ,OP, @MountainDrew What error is it?
327410484,ANSW,OP, @XboxSupport2 It's kind of working now.
327410484,REQ,OP, Is there any way i can remove my membership?
139242149,REQ,OP, @MountainDrew Are you trying to cancel a Gold membership?
327410484,ANSW,OP,@XboxSupport2 Yes i am.
139242149,ANSW,OP,"@MountainDrew Here's some info on that, I hope it helps: http://t.co/ncC6ggMb  ^BB"
327410484,THK,SV,"@XboxSupport2 Thank you, just did that and it worked."
139242149,RESPOS,SV," @MountainDrew Fantastic, glad we could help you out!"

139242149,REQ,OP, @L_K1231 You're trying to open ports on your router?
637130585,ANSW,OP,@XboxSupport2 well just checking if all the ports i need open for xbox are open
637130585,ANSW,OP,"@XboxSupport2 yeah just to see if all the ports that need to be open for xbox are open, EA told me that this could be the problem"
139242149,ANSW,SV," @L_K1231 Ah, here's that info!"
139242149,ANSW,SV, http://t.co/L6mcQ5n6 ^BB
139242149,RCPT,SV," @L_K1231 Gotcha, I hope that helps!"
637130585,REQ,OP,"@XboxSupport2 ok another question, what happens when i open the ports because the router has business files i cant lose"
139242149,ANSW,OP, @L_K1231 It shouldn't affect anything like that on your computer.
139242149,ANSW,OP, Just helps the router connect to LIVE easier.
637130585,ANSW,OP,@XboxSupport2 ohh so it probadly wont help my freezing download
139242149,ANSW,OP, @L_K1231 If it's a download from Xbox LIVE it can help possibly.
637130585,ANSW,OP,@XboxSupport2 well its the EA sports early release download but its from xbox live

139242149,REQ,OP, @RossDownes Is the game installed to the HDD?
186849909,ANSW,OP,@XboxSupport2 no
139242149,REQ,OP,@RossDownes Let's try redownloading your profile and see if that helps: http://t.co/nQ5uAXsP  ^BB
186849909,ANSW,OP,@XboxSupport2 I don't really mind much as I don't really use the online feature anymore but if it happens F1 2012 I'll do it :(
139242149,ANSW,OP," @RossDownes Alright, well, be sure to let us know if we can help further!"
186849909,ANSW,OP,@XboxSupport2 actually there is one what if I do re-download my profile and it dosent work what would be next ?
139242149,ANSW,OP, @RossDownes Then we may need to take a look at the network.
139242149,REQ,OP, A quick restart after downloading is a good idea too ^PC
186849909,REQ,OP,@XboxSupport2 could be my router it isint the best but it's ok everything goes haywire when it happens laptops phones everything

139242149,REQ,OP," @Gravess_ Aha, so it's good to go?"
397930647,ANSW,OP,@XboxSupport2 yes
139242149,COMPLIM,SV, @Gravess_ Great!
139242149,COMPLIM,SV, Glad to hear it :) ^BB

336954850,REQ,OP,@XboxSupport2 Does Xbox Live support soccer?
139242149,ANSW,OP," @manynukes11 Sure, lots of soccer fans here!"
336954850,REQ,OP,@XboxSupport2 do you even lift?
139242149,REQ,OP, @manynukes11 Did you have any support questions today?
336954850,REQ,OP,@XboxSupport2 do you remember me?
139242149,REQ,SV, @manynukes11 Please do let us know if you have any Xbox Support questions.
336954850,ANSW,OP,@XboxSupport2 Cut the work talk and let's chat
139242149,ANNOU,SV, @manynukes11 We will be here if you have any Xbox Support questions.
336954850,REQ,OP,"@XboxSupport2 Why does a 4GB cost $200 and a 250GB costs $300, I want a cheap one with alot of space"
336954850,REQ,OP,@XboxSupport2 Do you like Led Zeppelin?

139242149,REQ,OP, @Jeffreywoo How are you attempting to close it?
25154658,ANSW,OP,@XboxSupport2 At the http://t.co/6AdiU1Rd website.
139242149,REQ,OP, @Jeffreywoo And this account is not on a Gold subscription?
25154658,ANSW,OP,"@XboxSupport2 Yes, it's not on a gold subscription."
139242149,REQ,OP, @Jeffreywoo And what steps are you taking on the website?
25154658,ANSW,OP,@XboxSupport2 I just tried clicking 'close account' and it gives me that message.
139242149,REQ,OP," @Jeffreywoo Where are you seeing that option, exactly?"
25154658,ANSW,OP,@XboxSupport2 http://t.co/aGSeUq7e
139242149,THK,OP, @Jeffreywoo Thank you!
139242149,REQ,OP, And is that account on a family pack or anything else?
25154658,ANSW,OP,"@XboxSupport2 No prob, and nope."
139242149,REQ,OP, @Jeffreywoo Have you had a chance to call our phone support at all about this?
25154658,ANSW,OP," @XboxSupport2 Nope, should I call now or..."
25154658,REQ,OP, ?
139242149,REQ,OP," @Jeffreywoo Might be a good idea, need the #?"
25154658,ANSW,OP,@XboxSupport2 Yeah.
139242149,REQ,OP, @Jeffreywoo What country are you in?
25154658,ANSW,OP,@XboxSupport2 U.S.
139242149,ANSW,SV, @Jeffreywoo Here you go!
139242149,ANSW,SV, 1-800-469-9269 ^BB
25154658,THK,SV,@XboxSupport2 Thanks for the help!

139242149,ANSW,OP, @ThatWhiteNiqqa We'd recommend buying those products new so that you don't risk that happening.
423779313,REQ,OP, @XboxSupport2 well that means I just pretty mucg wasted that much money and I can't use it?
423779313,ANNOU,OP, Smh
139242149,ANSW,OP," @ThatWhiteNiqqa Unfortunately, there's not much we can do if the console is modified."
423779313,ANSW,OP, @XboxSupport2 well I mean I've been banned like twice now.
423779313,ANSW,OP, Its kinda hard playing online and having all these mods when you get banned.
423779313,ANSW,OP, Haha
139242149,ANSW,OP, @ThatWhiteNiqqa You might want to get an unmodified console to be able to play without suspension.
423779313,ANSW,OP,@XboxSupport2 well I have a 250 gig slim and a modded one which you need both to do everything but I just might destroy the modded one.
139242149,ANSW,SV, @ThatWhiteNiqqa We don't recommend using the modded console or controller.
423779313,ANSW,SV, @XboxSupport2 why though its fun.
423779313,COMPLIM,SV, :-)
139242149,REQ,SV," @ThatWhiteNiqqa Let us know if you have any other Xbox questions, thanks!"

139242149,ANSW,OP," @PRO_herpadurp4 I hear you, there are other features that come along with a Gold subscription as well."
139242149,THK,OP, Thanks for your feedback ^OZ
434664250,REQ,OP, @XboxSupport2 so what you're telling me is that I have to pay to watch a free video streaming website?
434664250,ANSW,OP, My phone can play YouTube
139242149,ANSW,SV, @PRO_herpadurp4 To get the full LIVE experience a Gold subscription will be needed.
434664250,ANSW,SV,"@XboxSupport2 alright, I just wanna give some constructive feedback  http://t.co/16CYpcur"
139242149,ANSW,SV,@PRO_herpadurp4 Feel free to post feedback online at http://t.co/NbguaEYx ^LB

337020357,ANNOU,OP,@XboxSupport2 I have a question about PS3
139242149,ANSW,SV, @jeev115 Afraid we can't really help you there.
139242149,REQ,SV, You can let us know if you need Xbox help though!

139242149,REQ,OP, @D_NIICE_2 So it's failing on the first step?
381235953,ANSW,OP, @XboxSupport2 I go to test it...
381235953,ANSW,OP, And it says that nothing's connected.
381235953,ANSW,OP, It won't even let me try to test the connection

139242149,REQ,OP, @x0813 Are you on a child account?
506303873,ANSW,OP, @XboxSupport2 I'm not sure but when I got my Xbox my mom had to make a windows live ID.
506303873,REQ,OP, Is that what you mean?
139242149,REQ,OP, @x0813 Are you under 18?

139242149,ANSW,OP, @superWEEninja We are not able to do that.
473524916,REQ,OP,@XboxSupport2 please
139242149,REQ,SV, @superWEEninja Please do let us know if you have any Xbox Support questions.
473524916,REQ,OP,@XboxSupport2 please do this for me
473524916,REQ,OP,.@XboxSupport2 ok i have an xbox question

139242149,THK,SV, @RockBandAide Thanks for the help!
26654593,ANNOU,SV,@XboxSupport2 m/
139242149,RESPOS,SV," @RockBandAide Same to you, friend!"
139242149,COMPLIM,SV, :) ^BB

139242149,REQ,OP, @chareltje How do you connect to the network from the console?
145812836,ANSW,OP,"@XboxSupport2 I use wireless, its actually connecting but like once every 45 min."
139242149,REQ,OP, @chareltje Are you able to test from a wired connection and see if it happens?
145812836,ANSW,OP," @XboxSupport2 actually no, the internet cable is on the 1st floor and cannot be moved and the TV in on the sec."
145812836,ANSW,OP, and cant be moved aswell
139242149,REQ,OP, @chareltje Are you using built-in wifi or a wireless adapter?
145812836,ANSW,OP,"@XboxSupport2 built-in wifi receptor (xbox slim) it seems to be working properly now, thanks for the support"

139242149,REQ,OP, @loganbeecher2 Your cord?
563480892,ANSW,OP,@XboxSupport2 plag and go kit charger
139242149,REQ,OP, @loganbeecher2 did you order one?
563480892,ANSW,OP,@XboxSupport2 yeah
139242149,REQ,OP, @loganbeecher2 Where did you order it from?
563480892,ANSW,OP,"@XboxSupport2 I called your support line to send me one because when I move it It's not charging, intell I keep it still"

139242149,REQ,OP," @HarryGillHG What is happening, exactly?"
554558739,REQ,OP, @XboxSupport2 My screen is shaking when I'm playing any game?
554558739,REQ,OP," And I thought that I was talking to @XboxSupport, Who are you?"

139242149,REQ,OP," @VapidTomcat Thanks, and is this the 40404 error?"
498460258,ANSW,OP, @xboxsupport2 i think so yeah.
498460258,ANSW,OP, I'd check but it's half time in fafa land
498460258,ANSW,OP,@xboxsupport2 fifa haha
139242149,ANSW,OP," @VapidTomcat Well, there's currently some issues with Youtube that are being looked into."
139242149,ANNOU,OP, Keep an eye out here: http://t.co/201ushRn ^BB
139242149,REQ,OP, @VapidTomcat What's up with Fifa?
498460258,ANSW,OP,"@xboxsupport2 cool, thanks :) also i tried tweetin turn10 bout the lvl prob (no reply) email (still nuthin)"
498460258,ANSW,OP, @xboxsupport2 nah fifa's good.
498460258,ANSW,OP," It's forza4, i heard that after level 257 the nxt level is 1."
498460258,ANSW,OP, should keep goin 2 999
139242149,REQ,OP, @VapidTomcat Can you clarify the issue?
139242149,RCPT,OP," @VapidTomcat Oh, right."
139242149,APOL,OP, Sorry for the confusion.
139242149,ANSW,OP, We don't have more info on that one.
139242149,REQ,OP, Have you tried contacting the developer?
498460258,ANSW,OP, @xboxsupport2 i want to keep racing but i dont wanna see my level drop bak to 1.
498460258,ANSW,OP, Atm i'm @ lvl 245.
498460258,REQ,OP, Is that what u meant?
498460258,ANSW,OP, @xboxsupport2 tried tweets and sent emails but no word.
498460258,ANSW,OP, On their site they pretty much say they wont read emails.
139242149,REQ,OP," @VapidTomcat Yeah, have you been able to contact the developer about the level worries?"
139242149,ANSW,OP," @VapidTomcat I see, well if it helps we haven't had anyone else come to us with that issue that I know of."
498460258,ANSW,OP,@xboxsupport2 not really lol i've heard it from a few ppl in game who could jst be lying oc but i dont like the idea of lvl1
139242149,RCPT,OP, @VapidTomcat I hear ya.

139242149,REQ,OP, @imConclusion What is the current status on your issue?
381626247,ANSW,OP,@XboxSupport2 they said they were starting an investigation I better get my tag back
139242149,ANSW,OP," @imConclusion Ah, in that case you'll want to wait on the results of the investigation before moving forward."
381626247,ANSW,OP,"@XboxSupport2 well I got my tag back but its stupid that I cant have my OG ""Conclusion"" back seriously there has to be way I can have it bac"

139242149,ANSW,SV, @malccrombie There's currently issues with accounts that is being looked into.
139242149,ANNOU,SV, Check on http://t.co/201ushRn for more info.
139242149,REQ,OP, @malccrombie What happens when you go to the forums?
239015664,ANSW,OP, @XboxSupport2 constantly getting run time error or / error.
239015664,ANSW,OP, The whole site is like this.

139242149,REQ,OP, @Samus2008 Are you able to try running a connection test?
139242149,REQ,OP, Let us know what happens.
36488755,ANSW,OP,@XboxSupport2 it didn't find live I tried redownloading my account and it wouldn't let me
139242149,ANSW,SV, @Samus2008 There's currently issues with downloading accounts.
139242149,ANNOU,SV, You can check on the info here: http://t.co/201ushRn for updates!

139242149,REQ,OP, @androidkey Can you try the support site in a different browser?
44213899,ANSW,OP," @XboxSupport2 tried chrome, safari, nothing works fella."
44213899,ANSW,OP, Gave up in the end.
139242149,REQ,OP, @androidkey Are you able to sign into http://t.co/2tbXhXwk at all?
44213899,ANSW,OP, @XboxSupport2 yes I can but can't contact support.
44213899,ANSW,OP, I can access everything else about the account.
139242149,REQ,OP," @androidkey Hmm, what country is the website set to in the bottom left corner?"
44213899,ANSW,OP, @XboxSupport2 England mate.
44213899,REQ,OP, Is there any way to get this resolved?
44213899,ANSW,OP," @XboxSupport2 The error I get "" Invalid data."
44213899,REQ,OP," Please check your information"" even though I am signed in and can see my account infotmation."
139242149,ANSW,OP, @androidkey I sure hope so.
139242149,REQ,OP, What are you selecting in the drop downs for your issue?
44213899,ANSW,OP, @XboxSupport2 Yes I am.
44213899,ANSW,OP," Just to be clear &amp; avoid the numerous tweeting back &amp; fourth, I am following all the steps correctly."
44213899,ANSW,OP, @XboxSupport2 Don't mean to be sound like an arse but we have been tweeting for two days with no end of sight.
44213899,REQ,OP, Can we fix the issue?
139242149,ANSW,OP," @androidkey It's cool, I understand the frustration."
139242149,REQ,OP, Would you be able to send a picture of the error?
44213899,REQ,OP,"@XboxSupport2 Yes, what email address can I send that too?"

139242149,REQ,OP, @Falcongam What is happening for you currently?
465670510,ANSW,OP,@XboxSupport2 it wont let me use it at all
139242149,REQ,OP, @Falcongam Are you getting a specific error message?

20262322,REQ,OP, @XboxSupport2 is there something wrong with http://t.co/ZKsnmAtf?
20262322,ANSW,OP, I can sign in on the site.
139242149,REQ,OP, @Butcher_Black What error are you getting when you try to sign in?
20262322,ANSW,SV, @XboxSupport2 It is working now.
20262322,ANSW,SV, Not sure what was going on.
139242149,RCPT,SV," @Butcher_Black Alright, cool."
139242149,REQ,SV, Let us know if it starts acting up again ^PC

305053256,REQ,OP,@XboxSupport2 Do you ever have to help people with their dick caught in their xbox?
139242149,ANSW,SV, @JHancck All the time!
139242149,ANSW,SV, Contacting emergency services is usually the way to go for that one ^PC

139242149,REQ,OP, @aoifewhelan13 Are you still seeing that error code?
139242149,REQ,OP, Let us know when you can.
625228395,ANSW,SV, @XboxSupport2 it's downloading now!
625228395,THK,SV, Thanks
139242149,REQ,SV," @aoifewhelan13 Good to hear, let us know if we can help with anything else."

139242149,ANSW,SV," @Balwood Absolutely, here's how: http://t.co/mCYoAgyv However, there's currently some issues going on, might want to try it later on."
58512767,THK,SV,@XboxSupport2 thank you
139242149,RESPOS,SV, @Balwood You're very welcome!

139242149,ANSW,OP, @Darth_Steph We unfortunately wouldn't have more info on in-game stats.
139242149,ANSW,OP, You might want to try contacting the publisher if you can.
28188747,ANNOU,OP, @XboxSupport2 &gt;.
28188747,THK,SV, &gt; great thanks
139242149,REQ,SV," @Darth_Steph Sorry to hear about that, let us know how that goes."
28188747,ANSW,SV,@XboxSupport2 just gonna start again :( seems to only of been me it happened to = bloody sucks

139242149,REQ,OP, @nikeswoosh22 Have you had a chance to try out the steps here at all?
139242149,ANNOU,OP,@nikeswoosh22 here's the link to try: http://t.co/fJV1gHNL  ^BB

139242149,REQ,OP," @sammiefowler Can you try deleting it again, but make sure to clear cache (http://t.co/08EQg1GR) before rebooting and redownloading?"
15664897,ANSW,OP, @XboxSupport2 Already did that.
15664897,ANSW,OP," Still isn't working, sadly."
15664897,ANSW,OP," :( All other DLC has worked perfectly, the only problem one is The Underdome."
139242149,REQ,OP, @sammiefowler How much space is left on the hard drive?

139242149,REQ,OP, Crona Were you able to try that info we gave earlier?
626121459,ANSW,OP, @XboxSupport2 No i got on my Xbox instead.
626121459,ANSW,OP, Then to renew I entered the credit card info and it said it couldn't receive blah blah.
139242149,REQ,OP, Crona So you do have access to the profile from the console?
626121459,ANSW,OP,@XboxSupport2 I never said I didn't..... I couldn't log in from my computer because it gave me security stuff.
139242149,ANSW,OP, Crona Understood.
139242149,ANSW,OP," But if you don't know the password and don't have access to the alternate info, that link we sent would be necessary."
626121459,ANSW,OP, @XboxSupport2 I have 3 emails.
626121459,ANSW,OP, I was hacked so I don't know the first one.
626121459,ANSW,OP, Xbox gave me a new one and than told me to make an alternate.
139242149,REQ,OP, Crona And you don't have access to the alternate?
